,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_glu__L_e_m,-0.06392661763382285,-0.06876000000233196,-0.06876000003001699,-0.06875999999910677,-0.06875999999972704,-0.06876000000915107,-0.06809839757438006,-0.06876000002131612,-0.06876000003930628
EX_drib_e_m,-0.032627035900868157,-0.034379999998784806,-0.0020273122291467427,-0.0024431982246908906,-0.0016041903144261396,-0.03437999998945796,-0.032979646333620216,-0.00045038815624941496,-4.5774561431872197e-05
EX_galur_e_m,-0.028704837163280893,-0.03438000000059699,-6.27934498074108e-10,-6.517401715886963e-12,-8.51539814338105e-12,-0.034379999993944706,-0.030775007517037527,-0.02090834210001808,-0.034379999976163075
EX_etha_e_m,-0.008933463079041665,-0.03437999999872143,0.002831476162167237,0.002029311765583261,0.0006275710221858723,-0.0013858357882829816,-0.03356508819818692,-0.01159349166371941,-0.020533458208367814
EX_fe2_e_m,3.4334589414609806,3.4305910825282195,3.430801768025042,3.4301932745126833,3.4302345606177664,3.430544559542375,3.482093064049031,3.4304578356959627,3.430502580211047
EX_fe3dcit_e_m,-0.00031961487994337226,-0.00037781307041309474,-0.0005501982500879677,-0.00016640803577103828,-0.0002369315833737817,-5.159094610230487e-05,-0.00013686699124719468,-0.0002336545147717525,-0.00023231949443030704
EX_enter_e_m,0.03142285598509319,7.17459199884493e-05,7.61891045658657e-05,2.2783001424633702e-11,1.5154220897495327e-11,3.678132699579818e-11,0.032095190516225024,2.0119904993357057e-10,8.526997071066264e-11
EX_feenter_e_m,-0.03142285598508817,-7.176500057511174e-05,-7.622987195319478e-05,-2.332445174164023e-11,-1.3854579291422686e-11,-3.6774440759754016e-11,-0.03211187644116408,-2.0436985476989248e-10,-7.785407970994258e-11
EX_fru_e_m,-0.03303476096849994,-0.034380000000212685,-0.034380000024385585,-0.034379999994811984,-0.03437999999813222,-0.03438000000513546,-0.03331849890479294,-0.03438000001266291,-0.03438000003384893
EX_g3pc_e_m,-0.03212357225069462,-7.1901274103160205e-12,-1.627463973298287e-11,-7.013721400742982e-12,-9.971981413438873e-13,-1.3926652296520497e-11,-0.03195569133695194,-2.268509471358108e-11,-0.0006704240038076656
EX_g3pi_e_m,-0.02808596559586958,-5.287905197484775e-11,-0.0069648000817138294,-0.03437999999080813,-5.0088248980137043e-11,-4.914185866633578e-12,-0.02850972076332932,-3.4612331236628384e-11,-1.2535750492803117e-11
EX_g3ps_e_m,-0.03193267502443791,-0.034379999995979946,-0.03438000001462623,-0.03437999999420144,-0.03437999999436923,-0.0037711910739261618,-0.033767597761930654,-0.00830821340420058,-1.0811185371438498e-10
EX_gal_e_m,-0.03021035679446164,1.061305263266734e-11,4.4259339035465133e-11,2.4213048999555295e-12,5.073942497525922e-12,0.029886514925163733,-0.028034519266222996,-3.821491617539603e-12,3.003590986975567e-11
EX_galctn__L_e_m,-0.0318336206495505,-1.7321231304384026e-11,-2.4771442955196533e-11,-1.1405845762538633e-11,-2.7067535813326302e-12,-1.3972769856756449e-11,-0.03244490440276548,-4.57225579369383e-11,-2.260444303297988e-09
EX_galct__D_e_m,-0.02910400877406046,-0.034379999998892845,-0.009686386826438666,-2.440130303017198e-11,-3.980342563189176e-13,,-0.031574609277456464,-3.061618168502124e-10,-0.00826102232644353
EX_galt_e_m,-0.033091965027424994,-0.03437999999359289,-0.03437999999106118,-0.03437999999644399,-0.03437999999879391,-0.03437999999189263,-0.03297641067845594,-6.699378844345293e-10,-0.034380000032461853
EX_gthrd_e_m,-0.033507987761897784,-0.03438000000241047,-0.03438000003036986,-0.034379999999620804,-0.03437999999989098,-0.0343800000092696,-0.03425836790231229,-0.03438000002306409,-0.03438000004144895
EX_glcn_e_m,-0.029061141968775406,-0.034379999999246756,-0.0013228062532119132,-2.3131935020980907e-11,-2.8004611183585085e-12,-4.4912856459747964e-12,-0.030668800974420485,0.0026767545931947307,-0.034380000002256314
EX_glcn__D_e_m,-0.0315689098245011,-0.03437999999371363,-0.0013223127347456295,-2.090624500102876e-11,-2.9807855991411153e-12,-0.03438000000036408,-0.031778375994895317,-1.0637544779655173e-10,-0.03438000000253825
EX_glcur_e_m,-0.027721437041864777,0.0007146369332070723,0.030063585615611378,0.02989887479694795,0.008406506410837134,-0.034379999993983716,-0.02915159388061765,0.008594957620247774,-0.03437999998644287
EX_glyc3p_e_m,-0.03060341491508486,-0.03437999997617307,-0.03438000001738917,-0.03437999999566823,-0.034379999998397616,-0.0013131093072846825,-0.033895976699840555,-0.0343800000240963,-0.03438000004053195
EX_glyb_e_m,0.05431889359656691,5.929899951192718e-12,1.2325071318860861e-11,4.625856320226275e-12,1.7202505348146304e-13,1.1281964113532202e-11,0.05794886505111065,4.8721291861179096e-11,6.44715791882379e-05
EX_glyclt_e_m,-0.020814438375552746,-0.03438000000058692,-0.0015337339867245458,-0.0004403227057612247,-0.000620646625802287,0.03343654617020978,-0.011982507102672773,0.000151096133416127,0.02668805761674929
EX_h2s_e_m,4.431731222881684,3.5347848774393316,3.5329869718563085,3.598273708791578,3.612376339290785,6.220595081242937,5.173469687649309,4.703763886293178,7.068771715747961
EX_4hphac_e_m,-0.03436835796970741,-0.03438000000246125,-0.03438000003070102,-0.03437999999988031,-0.03437999999997618,-0.03438000000944438,-0.03439018905971466,-0.0343800000244931,-0.03438000004051766
EX_taur_e_m,-1.616260429797491e-12,3.0139780051746675e-14,1.0292603170008991e-12,1.839236222503276e-13,-1.6829234540989968e-14,-6.605230832179358e-13,-4.655519816758047e-11,-4.119629652096094e-12,1.0845154517999629e-12
EX_id3acald_e_m,0.0972025806100552,-0.0010712448363269236,-0.0022987819542771553,-0.0013109618077009112,-0.0018265774475250145,-0.0006343673758323091,-0.013734353371523022,-0.003921173861434245,-0.003505751394726743
EX_ile__L_e_m,0.03363862895709834,-0.0687600000020314,-0.06876000002916574,-0.06875999999461985,-0.06875999999768892,-0.06876000000737166,-0.06591059673662564,-0.06876000001887049,-0.06876000003444865
EX_inost_e_m,-0.0007878277144108539,-0.02060759970639027,-0.008609579440816102,0.005287741116987838,-0.028833848272409982,-0.029695468045043583,-0.013133567978395058,-0.03085367235380907,-0.01615107495784123
EX_lcts_e_m,-0.03288326635684351,-2.511761558766854e-11,-4.877051467168927e-11,-1.54187664449462e-11,-8.46838710674202e-12,-0.02988651419464281,-0.03280586041989656,-7.358200270359587e-11,-4.6199831433147666e-11
EX_lipoate_e_m,-0.042317681704792644,-5.499377287669251e-13,-8.469226903019921e-13,-3.881701811023562e-13,-1.0965634296156911e-13,,-0.02225676637511664,-6.180548838473649e-12,-3.716139087864044e-12
EX_lac__L_e_m,6.050327625696509,0.9306985294228493,2.5758933885080966,0.2143103639147761,0.9384470627946075,0.6721797950770904,3.0455211799189374,2.1420481568177463,3.2397747331895963
EX_mal__D_e_m,-0.028803312133832214,-3.598787542226427e-12,-7.96246009053956e-12,-7.58882367069016e-12,-1.2073030180513125e-12,-7.1463265574838874e-12,-0.02921960890917782,-1.1315596507472601e-10,-0.0343799996401665
EX_malthp_e_m,-0.033579032785383496,-0.01540578037884644,-0.027604301139507657,-0.03437999998281781,-0.015842556017402018,-0.0343800000063639,-0.03383763041947994,-0.00010321458068208322,-2.935133685138092e-10
EX_malthx_e_m,-0.03337097237983753,-1.4781036162154757e-10,-0.0017469577604008538,-0.03437999999920544,-0.034379999999780454,-0.034380000008389165,-0.03298756276074292,-0.034380000017796716,-0.034380000039826886
EX_maltpt_e_m,-0.032277075509042054,-0.012898221807842822,-0.03437999983940612,-0.0343799999984436,-0.03437999999956068,-0.03438000000744098,-0.03166256397269319,-0.03438000001042828,-0.03438000003879945
EX_maltttr_e_m,-0.03200202059641677,-0.008779302904562076,-0.0007008625841750186,-0.03437999999553917,-0.034379999996812835,-0.0343800000025946,-0.03265691317167958,-0.03437999971762044,-0.03438000003688553
EX_man6p_e_m,-0.01886274811362343,-0.03438000000137317,-0.0343800000292002,-0.03437999999938788,-0.03437999999944491,,-0.030110903760422025,-0.023229949239625798,-0.0343800000288166
EX_murein5p5p_e_m,-0.03215759415658236,-0.034380000001967045,-0.034380000028564145,-0.034379999998781816,-0.03437999999958136,-0.03438000000543827,-0.03405165991849304,-0.03438000001187397,-0.03438000003334472
EX_murein5px4p_e_m,-0.029941453543685156,-0.03438000000136057,-0.03438000002570576,-0.03437999999730466,-0.03437999999903137,-0.034379999999262126,-0.03367937939914077,-0.03437999999555474,-0.034380000023563714
EX_murein5px4px4p_e_m,-0.028363415644741687,-0.03438000000136057,-0.03438000002570565,-0.03437999999730466,-0.03437999999903136,-0.034379999999248366,-0.03364073610719728,-0.034379999995532325,-0.03438000002325953
EX_murein4px4p_e_m,0.043706370350265075,0.034379999010662465,0.03437988819691373,0.03438001075280411,0.034380000262937416,0.034380000879289545,0.041796878131696136,0.034380003604006504,0.03438000027411655
